"Step","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"283","1.8444691896438599","1.8444691896438599","1.8444691896438599"
"285","1.8344613313674927","1.8344613313674927","1.8344613313674927"
"287","1.8395087718963623","1.8395087718963623","1.8395087718963623"
"289","1.842696189880371","1.842696189880371","1.842696189880371"
"291","1.8463431596755981","1.8463431596755981","1.8463431596755981"
"293","1.8503777980804443","1.8503777980804443","1.8503777980804443"
"295","1.8461034297943115","1.8461034297943115","1.8461034297943115"
"297","1.835556149482727","1.835556149482727","1.835556149482727"
"299","1.8896127939224243","1.8896127939224243","1.8896127939224243"
"301","1.8687156438827515","1.8687156438827515","1.8687156438827515"
"303","1.869340181350708","1.869340181350708","1.869340181350708"
"305","1.8625874519348145","1.8625874519348145","1.8625874519348145"
"307","1.8631776571273804","1.8631776571273804","1.8631776571273804"
"309","1.8671317100524902","1.8671317100524902","1.8671317100524902"
"311","1.85840904712677","1.85840904712677","1.85840904712677"
"313","1.860800862312317","1.860800862312317","1.860800862312317"
"315","1.8528516292572021","1.8528516292572021","1.8528516292572021"
"317","1.9664703607559204","1.9664703607559204","1.9664703607559204"
"319","1.933756709098816","1.933756709098816","1.933756709098816"
"321","1.949978232383728","1.949978232383728","1.949978232383728"
"323","1.9461729526519775","1.9461729526519775","1.9461729526519775"
"325","1.918433666229248","1.918433666229248","1.918433666229248"
"327","1.9254153966903687","1.9254153966903687","1.9254153966903687"
"329","1.914756178855896","1.914756178855896","1.914756178855896"
"331","1.933062195777893","1.933062195777893","1.933062195777893"
"333","1.9278512001037598","1.9278512001037598","1.9278512001037598"
"335","1.9001777172088623","1.9001777172088623","1.9001777172088623"
"337","1.898820161819458","1.898820161819458","1.898820161819458"
"339","1.8805047273635864","1.8805047273635864","1.8805047273635864"
"341","1.9043771028518677","1.9043771028518677","1.9043771028518677"
"343","1.8820767402648926","1.8820767402648926","1.8820767402648926"
"345","1.9024134874343872","1.9024134874343872","1.9024134874343872"
"347","1.8862704038619995","1.8862704038619995","1.8862704038619995"
"349","1.923536777496338","1.923536777496338","1.923536777496338"
"351","1.907366156578064","1.907366156578064","1.907366156578064"
"353","1.9122422933578491","1.9122422933578491","1.9122422933578491"
"355","1.9011999368667603","1.9011999368667603","1.9011999368667603"
"357","1.9150809049606323","1.9150809049606323","1.9150809049606323"
"359","1.9165164232254028","1.9165164232254028","1.9165164232254028"
"361","1.9124914407730103","1.9124914407730103","1.9124914407730103"
"363","1.9108998775482178","1.9108998775482178","1.9108998775482178"
"365","1.922763466835022","1.922763466835022","1.922763466835022"
"367","2.018336534500122","2.018336534500122","2.018336534500122"
"369","2.0281903743743896","2.0281903743743896","2.0281903743743896"
"371","1.9596656560897827","1.9596656560897827","1.9596656560897827"
"373","1.9960246086120605","1.9960246086120605","1.9960246086120605"
"375","1.9605205059051514","1.9605205059051514","1.9605205059051514"
"377","2.0066685676574707","2.0066685676574707","2.0066685676574707"
"379","1.9712544679641724","1.9712544679641724","1.9712544679641724"
"381","1.9897537231445312","1.9897537231445312","1.9897537231445312"
"383","1.9718669652938843","1.9718669652938843","1.9718669652938843"
"385","1.9650588035583496","1.9650588035583496","1.9650588035583496"
"387","1.9590144157409668","1.9590144157409668","1.9590144157409668"
"389","1.9587494134902954","1.9587494134902954","1.9587494134902954"
"391","1.959377646446228","1.959377646446228","1.959377646446228"
"393","1.9649245738983154","1.9649245738983154","1.9649245738983154"
"395","1.9617233276367188","1.9617233276367188","1.9617233276367188"
"397","1.9352731704711914","1.9352731704711914","1.9352731704711914"
"399","1.98805570602417","1.98805570602417","1.98805570602417"
"401","1.980767011642456","1.980767011642456","1.980767011642456"
"403","1.9825644493103027","1.9825644493103027","1.9825644493103027"
"405","1.9747687578201294","1.9747687578201294","1.9747687578201294"
"407","1.9583460092544556","1.9583460092544556","1.9583460092544556"
"409","1.9278706312179565","1.9278706312179565","1.9278706312179565"
"411","1.964693307876587","1.964693307876587","1.964693307876587"
"413","1.9406520128250122","1.9406520128250122","1.9406520128250122"
"415","2.0013551712036133","2.0013551712036133","2.0013551712036133"
"417","2.0751757621765137","2.0751757621765137","2.0751757621765137"
"419","2.044757127761841","2.044757127761841","2.044757127761841"
"421","2.044494390487671","2.044494390487671","2.044494390487671"
"423","2.0706424713134766","2.0706424713134766","2.0706424713134766"
"425","2.033766031265259","2.033766031265259","2.033766031265259"
"427","2.0083374977111816","2.0083374977111816","2.0083374977111816"
"429","2.0342140197753906","2.0342140197753906","2.0342140197753906"
"431","2.035778522491455","2.035778522491455","2.035778522491455"
"433","2.06234073638916","2.06234073638916","2.06234073638916"
"435","2.024042844772339","2.024042844772339","2.024042844772339"
"437","2.0367047786712646","2.0367047786712646","2.0367047786712646"
"439","2.0314676761627197","2.0314676761627197","2.0314676761627197"
"441","2.026129722595215","2.026129722595215","2.026129722595215"
"443","2.0212111473083496","2.0212111473083496","2.0212111473083496"
"445","2.007826328277588","2.007826328277588","2.007826328277588"
"447","2.0253422260284424","2.0253422260284424","2.0253422260284424"
"449","2.0266432762145996","2.0266432762145996","2.0266432762145996"
"451","1.9936712980270386","1.9936712980270386","1.9936712980270386"
"453","2.020005226135254","2.020005226135254","2.020005226135254"
"455","2.0202713012695312","2.0202713012695312","2.0202713012695312"
"457","1.9980580806732178","1.9980580806732178","1.9980580806732178"
"459","2.012424945831299","2.012424945831299","2.012424945831299"
"461","2.0056395530700684","2.0056395530700684","2.0056395530700684"
"463","2.002631664276123","2.002631664276123","2.002631664276123"
"465","2.0948331356048584","2.0948331356048584","2.0948331356048584"
"467","2.095086097717285","2.095086097717285","2.095086097717285"
"469","2.0542714595794678","2.0542714595794678","2.0542714595794678"
"471","2.08454966545105","2.08454966545105","2.08454966545105"
"473","2.07781720161438","2.07781720161438","2.07781720161438"
"475","2.0711143016815186","2.0711143016815186","2.0711143016815186"
"477","2.0824105739593506","2.0824105739593506","2.0824105739593506"
"479","2.0646555423736572","2.0646555423736572","2.0646555423736572"
"481","2.045811414718628","2.045811414718628","2.045811414718628"
"483","2.0786259174346924","2.0786259174346924","2.0786259174346924"
"485","2.0776450634002686","2.0776450634002686","2.0776450634002686"
"487","2.0726959705352783","2.0726959705352783","2.0726959705352783"
"489","2.1046841144561768","2.1046841144561768","2.1046841144561768"
"491","2.0821380615234375","2.0821380615234375","2.0821380615234375"
"493","2.0833427906036377","2.0833427906036377","2.0833427906036377"
"495","2.0831313133239746","2.0831313133239746","2.0831313133239746"
"497","2.0837621688842773","2.0837621688842773","2.0837621688842773"
"499","2.060452699661255","2.060452699661255","2.060452699661255"
"501","2.0616250038146973","2.0616250038146973","2.0616250038146973"
"503","2.059518337249756","2.059518337249756","2.059518337249756"
"505","2.056156873703003","2.056156873703003","2.056156873703003"
"507","2.0697879791259766","2.0697879791259766","2.0697879791259766"
"509","2.064943313598633","2.064943313598633","2.064943313598633"
"511","2.0579898357391357","2.0579898357391357","2.0579898357391357"
"513","2.0274720191955566","2.0274720191955566","2.0274720191955566"
"515","2.189390182495117","2.189390182495117","2.189390182495117"
"517","2.136808156967163","2.136808156967163","2.136808156967163"
"519","2.1492323875427246","2.1492323875427246","2.1492323875427246"
"521","2.1327478885650635","2.1327478885650635","2.1327478885650635"
"523","2.133957624435425","2.133957624435425","2.133957624435425"
"525","2.1383514404296875","2.1383514404296875","2.1383514404296875"
"527","2.102759838104248","2.102759838104248","2.102759838104248"
"529","2.0937914848327637","2.0937914848327637","2.0937914848327637"
"531","2.0366854667663574","2.0366854667663574","2.0366854667663574"
"533","2.167682409286499","2.167682409286499","2.167682409286499"
"535","2.143214464187622","2.143214464187622","2.143214464187622"
"537","2.1332905292510986","2.1332905292510986","2.1332905292510986"
"539","2.16264271736145","2.16264271736145","2.16264271736145"
"541","2.1507201194763184","2.1507201194763184","2.1507201194763184"
"543","2.157289981842041","2.157289981842041","2.157289981842041"
"545","2.1642746925354004","2.1642746925354004","2.1642746925354004"
"547","2.1116983890533447","2.1116983890533447","2.1116983890533447"
"549","2.1378962993621826","2.1378962993621826","2.1378962993621826"
"551","2.121509552001953","2.121509552001953","2.121509552001953"
"553","2.1117844581604004","2.1117844581604004","2.1117844581604004"
"555","2.1128666400909424","2.1128666400909424","2.1128666400909424"
"557","2.1343040466308594","2.1343040466308594","2.1343040466308594"
"559","2.1103320121765137","2.1103320121765137","2.1103320121765137"
"561","2.0919017791748047","2.0919017791748047","2.0919017791748047"
"563","2.0799520015716553","2.0799520015716553","2.0799520015716553"
"565","2.2613871097564697","2.2613871097564697","2.2613871097564697"
"567","2.176009178161621","2.176009178161621","2.176009178161621"
"569","2.138611078262329","2.138611078262329","2.138611078262329"
"571","2.18562912940979","2.18562912940979","2.18562912940979"
"573","2.1883697509765625","2.1883697509765625","2.1883697509765625"
"575","2.138719081878662","2.138719081878662","2.138719081878662"
