"train/global_step","./falcon_gpt_results_packing - _step","./falcon_gpt_results_packing - _step__MIN","./falcon_gpt_results_packing - _step__MAX","./falcon_gpt_results_packing - eval/loss","./falcon_gpt_results_packing - eval/loss__MIN","./falcon_gpt_results_packing - eval/loss__MAX"
"9650","385","385","385","1.3701305389404297","1.3701305389404297","1.3701305389404297"
"9700","387","387","387","1.36691415309906","1.36691415309906","1.36691415309906"
"9750","389","389","389","1.3646914958953857","1.3646914958953857","1.3646914958953857"
"9800","391","391","391","1.3672287464141846","1.3672287464141846","1.3672287464141846"
"9850","393","393","393","1.366067886352539","1.366067886352539","1.366067886352539"
"9900","395","395","395","1.3648940324783325","1.3648940324783325","1.3648940324783325"
"9950","397","397","397","1.367647409439087","1.367647409439087","1.367647409439087"
"10000","399","399","399","1.3640249967575073","1.3640249967575073","1.3640249967575073"
"10050","401","401","401","1.3653390407562256","1.3653390407562256","1.3653390407562256"
"10100","403","403","403","1.367897629737854","1.367897629737854","1.367897629737854"
"10150","405","405","405","1.3646907806396484","1.3646907806396484","1.3646907806396484"
"10200","407","407","407","1.380290150642395","1.380290150642395","1.380290150642395"
"10250","409","409","409","1.3751616477966309","1.3751616477966309","1.3751616477966309"
"10300","411","411","411","1.3806662559509277","1.3806662559509277","1.3806662559509277"
"10350","413","413","413","1.3723244667053223","1.3723244667053223","1.3723244667053223"
"10400","415","415","415","1.3735374212265015","1.3735374212265015","1.3735374212265015"
"10450","417","417","417","1.3769930601119995","1.3769930601119995","1.3769930601119995"
"10500","419","419","419","1.3758233785629272","1.3758233785629272","1.3758233785629272"
"10550","421","421","421","1.3758041858673096","1.3758041858673096","1.3758041858673096"
"10600","423","423","423","1.3723238706588745","1.3723238706588745","1.3723238706588745"
"10650","425","425","425","1.3713395595550537","1.3713395595550537","1.3713395595550537"
"10700","427","427","427","1.3744328022003174","1.3744328022003174","1.3744328022003174"
"10750","429","429","429","1.374274730682373","1.374274730682373","1.374274730682373"
"10800","431","431","431","1.3720335960388184","1.3720335960388184","1.3720335960388184"
"10850","433","433","433","1.3689630031585693","1.3689630031585693","1.3689630031585693"
"10900","435","435","435","1.3686847686767578","1.3686847686767578","1.3686847686767578"
"10950","437","437","437","1.3688147068023682","1.3688147068023682","1.3688147068023682"
"11000","439","439","439","1.3729503154754639","1.3729503154754639","1.3729503154754639"
"11050","441","441","441","1.3819310665130615","1.3819310665130615","1.3819310665130615"
"11100","443","443","443","1.3774597644805908","1.3774597644805908","1.3774597644805908"
"11150","445","445","445","1.3829084634780884","1.3829084634780884","1.3829084634780884"
"11200","447","447","447","1.3824865818023682","1.3824865818023682","1.3824865818023682"
"11250","449","449","449","1.3766610622406006","1.3766610622406006","1.3766610622406006"
"11300","451","451","451","1.3791228532791138","1.3791228532791138","1.3791228532791138"
"11350","453","453","453","1.3802028894424438","1.3802028894424438","1.3802028894424438"
"11400","455","455","455","1.3809823989868164","1.3809823989868164","1.3809823989868164"
"11450","457","457","457","1.3814207315444946","1.3814207315444946","1.3814207315444946"
"11500","459","459","459","1.3818093538284302","1.3818093538284302","1.3818093538284302"
"11550","461","461","461","1.3768476247787476","1.3768476247787476","1.3768476247787476"
"11600","463","463","463","1.3804872035980225","1.3804872035980225","1.3804872035980225"
"11650","465","465","465","1.3790961503982544","1.3790961503982544","1.3790961503982544"
"11700","467","467","467","1.3778339624404907","1.3778339624404907","1.3778339624404907"
"11750","469","469","469","1.379921317100525","1.379921317100525","1.379921317100525"
"11800","471","471","471","1.3819409608840942","1.3819409608840942","1.3819409608840942"
"11850","473","473","473","1.3760184049606323","1.3760184049606323","1.3760184049606323"
"11900","475","475","475","1.3832679986953735","1.3832679986953735","1.3832679986953735"
"11950","477","477","477","1.3845717906951904","1.3845717906951904","1.3845717906951904"
"12000","479","479","479","1.3841617107391357","1.3841617107391357","1.3841617107391357"
"12050","481","481","481","1.38726806640625","1.38726806640625","1.38726806640625"
"12100","483","483","483","1.3824878931045532","1.3824878931045532","1.3824878931045532"
"12150","485","485","485","1.3824673891067505","1.3824673891067505","1.3824673891067505"
"12200","487","487","487","1.3822414875030518","1.3822414875030518","1.3822414875030518"
"12250","489","489","489","1.3838881254196167","1.3838881254196167","1.3838881254196167"
"12300","491","491","491","1.3913214206695557","1.3913214206695557","1.3913214206695557"
"12350","493","493","493","1.3897769451141357","1.3897769451141357","1.3897769451141357"
"12400","495","495","495","1.3935141563415527","1.3935141563415527","1.3935141563415527"
"12450","497","497","497","1.385196328163147","1.385196328163147","1.385196328163147"
"12500","499","499","499","1.3951112031936646","1.3951112031936646","1.3951112031936646"
"12550","501","501","501","1.3908593654632568","1.3908593654632568","1.3908593654632568"
"12600","503","503","503","1.388222098350525","1.388222098350525","1.388222098350525"
"12650","505","505","505","1.3860505819320679","1.3860505819320679","1.3860505819320679"
"12700","507","507","507","1.3853545188903809","1.3853545188903809","1.3853545188903809"
"12750","509","509","509","1.389344573020935","1.389344573020935","1.389344573020935"
"12800","511","511","511","1.3849793672561646","1.3849793672561646","1.3849793672561646"
"12850","513","513","513","1.3871499300003052","1.3871499300003052","1.3871499300003052"
"12900","515","515","515","1.3922512531280518","1.3922512531280518","1.3922512531280518"
"12950","517","517","517","1.3927199840545654","1.3927199840545654","1.3927199840545654"
"13000","519","519","519","1.3848240375518799","1.3848240375518799","1.3848240375518799"
"13050","521","521","521","1.3905675411224365","1.3905675411224365","1.3905675411224365"
"13100","523","523","523","1.385753870010376","1.385753870010376","1.385753870010376"
"13150","525","525","525","1.3982517719268799","1.3982517719268799","1.3982517719268799"
"13200","527","527","527","1.395635724067688","1.395635724067688","1.395635724067688"
"13250","529","529","529","1.4005895853042603","1.4005895853042603","1.4005895853042603"
"13300","531","531","531","1.3987040519714355","1.3987040519714355","1.3987040519714355"
"13350","533","533","533","1.400495171546936","1.400495171546936","1.400495171546936"
"13400","535","535","535","1.4010311365127563","1.4010311365127563","1.4010311365127563"
"13450","537","537","537","1.4027199745178223","1.4027199745178223","1.4027199745178223"
"13500","539","539","539","1.3988664150238037","1.3988664150238037","1.3988664150238037"
"13550","541","541","541","1.3959619998931885","1.3959619998931885","1.3959619998931885"
"13600","543","543","543","1.397871494293213","1.397871494293213","1.397871494293213"
"13650","545","545","545","1.4006590843200684","1.4006590843200684","1.4006590843200684"
"13700","547","547","547","1.395426630973816","1.395426630973816","1.395426630973816"
"13750","549","549","549","1.397571325302124","1.397571325302124","1.397571325302124"
"13800","551","551","551","1.3972303867340088","1.3972303867340088","1.3972303867340088"
"13850","553","553","553","1.3900870084762573","1.3900870084762573","1.3900870084762573"
"13900","555","555","555","1.3905584812164307","1.3905584812164307","1.3905584812164307"
"13950","557","557","557","1.3946834802627563","1.3946834802627563","1.3946834802627563"
"14000","559","559","559","1.4085676670074463","1.4085676670074463","1.4085676670074463"
"14050","561","561","561","1.4193109273910522","1.4193109273910522","1.4193109273910522"
"14100","563","563","563","1.4163342714309692","1.4163342714309692","1.4163342714309692"
"14150","565","565","565","1.41455078125","1.41455078125","1.41455078125"
"14200","567","567","567","1.4103362560272217","1.4103362560272217","1.4103362560272217"
"14250","569","569","569","1.4084982872009277","1.4084982872009277","1.4084982872009277"
"14300","571","571","571","1.4170093536376953","1.4170093536376953","1.4170093536376953"
"14350","573","573","573","1.4144952297210693","1.4144952297210693","1.4144952297210693"
"14400","575","575","575","1.4159801006317139","1.4159801006317139","1.4159801006317139"
"14450","577","577","577","1.4044114351272583","1.4044114351272583","1.4044114351272583"
"14500","579","579","579","1.4017765522003174","1.4017765522003174","1.4017765522003174"
"14550","581","581","581","1.40342116355896","1.40342116355896","1.40342116355896"
"14600","583","583","583","1.4075878858566284","1.4075878858566284","1.4075878858566284"
"14650","585","585","585","1.4025659561157227","1.4025659561157227","1.4025659561157227"
"14700","587","587","587","1.403031349182129","1.403031349182129","1.403031349182129"
"14750","589","589","589","1.4026485681533813","1.4026485681533813","1.4026485681533813"
"14800","591","591","591","1.413989782333374","1.413989782333374","1.413989782333374"
"14850","593","593","593","1.4260118007659912","1.4260118007659912","1.4260118007659912"
"14900","595","595","595","1.4228771924972534","1.4228771924972534","1.4228771924972534"
"14950","597","597","597","1.429584264755249","1.429584264755249","1.429584264755249"
"15000","599","599","599","1.428701639175415","1.428701639175415","1.428701639175415"
"15050","601","601","601","1.4330174922943115","1.4330174922943115","1.4330174922943115"
"15100","603","603","603","1.4255636930465698","1.4255636930465698","1.4255636930465698"
"15150","605","605","605","1.4191131591796875","1.4191131591796875","1.4191131591796875"
"15200","607","607","607","1.4233945608139038","1.4233945608139038","1.4233945608139038"
"15250","609","609","609","1.413661241531372","1.413661241531372","1.413661241531372"
"15300","611","611","611","1.419089436531067","1.419089436531067","1.419089436531067"
"15350","613","613","613","1.412021517753601","1.412021517753601","1.412021517753601"
"15400","615","615","615","1.4216055870056152","1.4216055870056152","1.4216055870056152"
"15450","617","617","617","1.413896083831787","1.413896083831787","1.413896083831787"
"15500","619","619","619","1.4127761125564575","1.4127761125564575","1.4127761125564575"
"15550","621","621","621","1.4098008871078491","1.4098008871078491","1.4098008871078491"
"15600","623","623","623","1.414186716079712","1.414186716079712","1.414186716079712"
"15650","625","625","625","1.4277918338775635","1.4277918338775635","1.4277918338775635"
"15700","627","627","627","1.430879831314087","1.430879831314087","1.430879831314087"
"15750","629","629","629","1.433600902557373","1.433600902557373","1.433600902557373"
"15800","631","631","631","1.4296618700027466","1.4296618700027466","1.4296618700027466"
"15850","633","633","633","1.4361779689788818","1.4361779689788818","1.4361779689788818"
"15900","635","635","635","1.4323965311050415","1.4323965311050415","1.4323965311050415"
"15950","637","637","637","1.4225411415100098","1.4225411415100098","1.4225411415100098"
"16000","639","639","639","1.4392640590667725","1.4392640590667725","1.4392640590667725"
"16050","641","641","641","1.4401047229766846","1.4401047229766846","1.4401047229766846"
"16100","643","643","643","1.4343491792678833","1.4343491792678833","1.4343491792678833"
"16150","645","645","645","1.4347869157791138","1.4347869157791138","1.4347869157791138"
"16200","647","647","647","1.4324218034744263","1.4324218034744263","1.4324218034744263"
"16250","649","649","649","1.424970269203186","1.424970269203186","1.424970269203186"
"16300","651","651","651","1.4255653619766235","1.4255653619766235","1.4255653619766235"
"16350","653","653","653","1.4269212484359741","1.4269212484359741","1.4269212484359741"
"16400","655","655","655","1.4214987754821777","1.4214987754821777","1.4214987754821777"
"16450","657","657","657","1.4196959733963013","1.4196959733963013","1.4196959733963013"
"16500","659","659","659","1.4406591653823853","1.4406591653823853","1.4406591653823853"
"16550","661","661","661","1.436576008796692","1.436576008796692","1.436576008796692"
"16600","663","663","663","1.4410500526428223","1.4410500526428223","1.4410500526428223"
"16650","665","665","665","1.4378207921981812","1.4378207921981812","1.4378207921981812"
"16700","667","667","667","1.434791088104248","1.434791088104248","1.434791088104248"
"16750","669","669","669","1.4449154138565063","1.4449154138565063","1.4449154138565063"
"16800","671","671","671","1.4322187900543213","1.4322187900543213","1.4322187900543213"
"16850","673","673","673","1.4330530166625977","1.4330530166625977","1.4330530166625977"
"16900","675","675","675","1.4334356784820557","1.4334356784820557","1.4334356784820557"
"16950","677","677","677","1.4451014995574951","1.4451014995574951","1.4451014995574951"
"17000","679","679","679","1.4466040134429932","1.4466040134429932","1.4466040134429932"
"17050","681","681","681","1.4415565729141235","1.4415565729141235","1.4415565729141235"
"17100","683","683","683","1.4349379539489746","1.4349379539489746","1.4349379539489746"
"17150","685","685","685","1.4367932081222534","1.4367932081222534","1.4367932081222534"
"17200","687","687","687","1.439897894859314","1.439897894859314","1.439897894859314"
"17250","689","689","689","1.437004566192627","1.437004566192627","1.437004566192627"
"17300","691","691","691","1.4387798309326172","1.4387798309326172","1.4387798309326172"
"17350","693","693","693","1.4409348964691162","1.4409348964691162","1.4409348964691162"
"17400","695","695","695","1.4396404027938843","1.4396404027938843","1.4396404027938843"
"17450","697","697","697","1.4459280967712402","1.4459280967712402","1.4459280967712402"
"17500","699","699","699","1.4506347179412842","1.4506347179412842","1.4506347179412842"
"17550","701","701","701","1.441228985786438","1.441228985786438","1.441228985786438"
"17600","703","703","703","1.440694808959961","1.440694808959961","1.440694808959961"
"17650","705","705","705","1.444743037223816","1.444743037223816","1.444743037223816"
"17700","707","707","707","1.4491908550262451","1.4491908550262451","1.4491908550262451"
"17750","709","709","709","1.4416526556015015","1.4416526556015015","1.4416526556015015"
"17800","711","711","711","1.4480834007263184","1.4480834007263184","1.4480834007263184"
"17850","713","713","713","1.4600452184677124","1.4600452184677124","1.4600452184677124"
