"train/global_step","./falcon_results_packing - _step","./falcon_results_packing - _step__MIN","./falcon_results_packing - _step__MAX","./falcon_results_packing - eval/loss","./falcon_results_packing - eval/loss__MIN","./falcon_results_packing - eval/loss__MAX"
"4700","187","187","187","1.3439171314239502","1.3439171314239502","1.3439171314239502"
"4750","189","189","189","1.3439215421676636","1.3439215421676636","1.3439215421676636"
"4800","191","191","191","1.341855764389038","1.341855764389038","1.341855764389038"
"4850","193","193","193","1.3442083597183228","1.3442083597183228","1.3442083597183228"
"4900","195","195","195","1.3425203561782837","1.3425203561782837","1.3425203561782837"
"4950","197","197","197","1.3416177034378052","1.3416177034378052","1.3416177034378052"
"5000","199","199","199","1.3434489965438843","1.3434489965438843","1.3434489965438843"
"5050","201","201","201","1.3437559604644775","1.3437559604644775","1.3437559604644775"
"5100","203","203","203","1.34392511844635","1.34392511844635","1.34392511844635"
"5150","205","205","205","1.3434488773345947","1.3434488773345947","1.3434488773345947"
"5200","207","207","207","1.3423709869384766","1.3423709869384766","1.3423709869384766"
"5250","209","209","209","1.3434315919876099","1.3434315919876099","1.3434315919876099"
"5300","211","211","211","1.3432326316833496","1.3432326316833496","1.3432326316833496"
"5350","213","213","213","1.343635082244873","1.343635082244873","1.343635082244873"
"5400","215","215","215","1.3422296047210693","1.3422296047210693","1.3422296047210693"
"5450","217","217","217","1.3406643867492676","1.3406643867492676","1.3406643867492676"
"5500","219","219","219","1.3422397375106812","1.3422397375106812","1.3422397375106812"
"5550","221","221","221","1.3401068449020386","1.3401068449020386","1.3401068449020386"
"5600","223","223","223","1.3416521549224854","1.3416521549224854","1.3416521549224854"
"5650","225","225","225","1.3406898975372314","1.3406898975372314","1.3406898975372314"
"5700","227","227","227","1.3409003019332886","1.3409003019332886","1.3409003019332886"
"5750","229","229","229","1.339861512184143","1.339861512184143","1.339861512184143"
"5800","231","231","231","1.3411178588867188","1.3411178588867188","1.3411178588867188"
"5850","233","233","233","1.3413176536560059","1.3413176536560059","1.3413176536560059"
"5900","235","235","235","1.3404054641723633","1.3404054641723633","1.3404054641723633"
"5950","237","237","237","1.341055989265442","1.341055989265442","1.341055989265442"
"6000","239","239","239","1.3396834135055542","1.3396834135055542","1.3396834135055542"
"6050","241","241","241","1.3399267196655273","1.3399267196655273","1.3399267196655273"
"6100","243","243","243","1.3391551971435547","1.3391551971435547","1.3391551971435547"
"6150","245","245","245","1.3401172161102295","1.3401172161102295","1.3401172161102295"
"6200","247","247","247","1.3395429849624634","1.3395429849624634","1.3395429849624634"
"6250","249","249","249","1.3387000560760498","1.3387000560760498","1.3387000560760498"
"6300","251","251","251","1.3420379161834717","1.3420379161834717","1.3420379161834717"
"6350","253","253","253","1.3400695323944092","1.3400695323944092","1.3400695323944092"
"6400","255","255","255","1.3410537242889404","1.3410537242889404","1.3410537242889404"
"6450","257","257","257","1.3414345979690552","1.3414345979690552","1.3414345979690552"
"6500","259","259","259","1.339154601097107","1.339154601097107","1.339154601097107"
"6550","261","261","261","1.3398406505584717","1.3398406505584717","1.3398406505584717"
"6600","263","263","263","1.3393875360488892","1.3393875360488892","1.3393875360488892"
"6650","265","265","265","1.3414676189422607","1.3414676189422607","1.3414676189422607"
"6700","267","267","267","1.3405399322509766","1.3405399322509766","1.3405399322509766"
"6750","269","269","269","1.3387471437454224","1.3387471437454224","1.3387471437454224"
"6800","271","271","271","1.3383946418762207","1.3383946418762207","1.3383946418762207"
